invoice_id,customer_id,customer_name,amount,invoice_date,due_date,status
INV-2026-0001,CUST001,Acme Traders,50000.00,2026-08-01,2026-08-31,open
INV-2026-0002,CUST002,Everest Foods,35000.00,2026-08-05,2026-09-04,open
INV-2026-0003,CUST001,Acme Traders,75000.00,2026-08-10,2026-09-09,open
INV-2026-0004,CUST003,Sharma Enterprises,42000.00,2026-08-12,2026-09-11,open
INV-2026-0005,CUST002,Everest Foods,60000.00,2026-08-15,2026-09-14,open
INV-2026-0006,CUST001,Acme Traders,120000.00,2026-07-01,2026-07-31,overdue
INV-2026-0007,CUST003,Sharma Enterprises,85000.00,2026-08-20,2026-09-19,open
INV-2026-0008,CUST001,Acme Traders,45000.00,2026-08-25,2026-09-24,open
INV-2026-0009,CUST002,Everest Foods,28000.00,2026-08-28,2026-09-27,open
INV-2026-0010,CUST003,Sharma Enterprises,92000.00,2026-09-01,2026-10-01,open
